dataset,bit,acc,params,returncode
CINIC10,1,64.2,1875202,0
CINIC10,2,76.06,1875215,0
CINIC10,4,77.96,1875215,0
CINIC10,8,77.94,1875215,0
CINIC10,16,77.99,1875215,0
CINIC10,32,78.08,1875215,0
FashionMNIST,1,77.94,1875202,0
FashionMNIST,2,93.46,1875215,0
FashionMNIST,4,93.92,1875215,0
FashionMNIST,8,93.94,1875215,0
FashionMNIST,16,93.82,1875215,0
FashionMNIST,32,93.83,1875215,0
STL10,1,66.91,1875202,0
STL10,2,72.83,1875215,0
STL10,4,76.54,1875215,0
STL10,8,74.45,1875215,0
STL10,16,74.55,1875215,0
STL10,32,75.46,1875215,0
